,entailment,id_argument1,id_argument2
0,ATTACK,2-j3,1-j8
1,ATTACK,3-j8,2-j3
2,ATTACK,4-j3,3-j8
3,SUPPORT,5-j8,1-j8
4,ATTACK,6-j7,1-j8
5,ATTACK,7-j8,6-j7
6,ATTACK,8-j10,7-j8
7,ATTACK,9-j9,8-j10
8,ATTACK,10-j2,1-j8
9,ATTACK,11-j8,10-j2
10,ATTACK,12-j2,11-j8
11,ATTACK,13-j3,1-j8
12,SUPPORT,14-f,13-j3
13,SUPPORT,15-j4,14-f
14,SUPPORT,16-j3,15-j4
15,SUPPORT,17-j10,16-j3
16,ATTACK,18-j8,17-j10
17,ATTACK,19-j10,18-j8
18,ATTACK,20-j6,1-j8
19,ATTACK,21-j8,20-j6
20,ATTACK,22-j7,1-j8
21,ATTACK,23-j8,22-j7
22,ATTACK,24-j7,23-j8
23,SUPPORT,25-j3,24-j7
24,SUPPORT,26-j8,1-j8
25,ATTACK,27-j3,26-j8
26,SUPPORT,28-j4,27-j3
27,ATTACK,29-j8,28-j4
28,ATTACK,30-j4,29-j8
29,ATTACK,31-j8,30-j4
30,ATTACK,32-j3,31-j8
31,ATTACK,33-j8,32-j3
32,ATTACK,34-j3,31-j8
33,SUPPORT,35-j10,34-j3
34,SUPPORT,36-j4,35-j10
35,ATTACK,37-j7,1-j8
36,SUPPORT,38-j8,37-j7
37,ATTACK,39-j9,38-j8
38,ATTACK,41-j3,40-j9
39,ATTACK,42-j12,40-j9
40,ATTACK,43-j8,42-j12
41,ATTACK,44-j4,43-j8
42,ATTACK,45-j8,41-j3
43,ATTACK,46-j3,45-j8
44,ATTACK,47-j9,46-j3
45,SUPPORT,48-j2,47-j9
46,ATTACK,49-j3,48-j2
47,ATTACK,50-j5,49-j3
48,SUPPORT,51-j9,50-j5
49,SUPPORT,52-j9,51-j9
50,SUPPORT,53-j9,52-j9
51,ATTACK,54-j3,53-j9
52,ATTACK,55-j8,41-j3
53,ATTACK,56-j3,55-j8
54,SUPPORT,57-j10,56-j3
55,ATTACK,58-j8,56-j3
56,SUPPORT,59-j5,40-j9
57,ATTACK,60-j7,45-j8
58,ATTACK,61-j8,60-j7
59,ATTACK,62-j3,61-j8
60,ATTACK,63-j2,62-j3
61,SUPPORT,64-j9,63-j2
62,ATTACK,65-j3,64-j9
63,SUPPORT,66-j11,65-j3
64,ATTACK,67-j3,66-j11
65,ATTACK,68-j9,67-j3
66,ATTACK,69-j8,41-j3
67,SUPPORT,70-j6,69-j8
68,ATTACK,71-j3,40-j9
69,ATTACK,72-j8,71-j3
70,SUPPORT,74-j2,73-j2
71,ATTACK,75-j3,74-j2
72,ATTACK,76-j5,75-j3
73,SUPPORT,77-j8,76-j5
74,SUPPORT,78-j5,77-j8
75,SUPPORT,79-j7,73-j2
76,ATTACK,80-j10,79-j7
77,ATTACK,81-j4,73-j2
78,SUPPORT,82-j3,81-j4
79,ATTACK,83-j8,82-j3
