,entailment,id_argument1,id_argument2
0,YES,arminglibianrebels-tr-2,arminglibianrebels-tr-1
1,YES,arminglibianrebels-tr-3,arminglibianrebels-tr-1
2,YES,arminglibianrebels-tr-4,arminglibianrebels-tr-1
3,NO,arminglibianrebels-tr-5,arminglibianrebels-tr-1
4,NO,arminglibianrebels-tr-6,arminglibianrebels-tr-5
5,NO,arminglibianrebels-tr-7,arminglibianrebels-tr-1
6,NO,arminglibianrebels-tr-8,arminglibianrebels-tr-3
7,NO,arminglibianrebels-tr-9,arminglibianrebels-tr-1
8,YES,arminglibianrebels-tr-10,arminglibianrebels-tr-1
9,YES,childbeautycontests-tr-2,childbeautycontests-tr-1
10,YES,childbeautycontests-tr-3,childbeautycontests-tr-1
11,NO,childbeautycontests-tr-4,childbeautycontests-tr-3
12,NO,childbeautycontests-tr-5,childbeautycontests-tr-3
13,YES,childbeautycontests-tr-6,childbeautycontests-tr-1
14,YES,childbeautycontests-tr-7,childbeautycontests-tr-1
15,NO,childbeautycontests-tr-8,childbeautycontests-tr-6
16,YES,childbeautycontests-tr-9,childbeautycontests-tr-1
17,YES,childbeautycontests-tr-10,childbeautycontests-tr-9
18,NO,childbeautycontests-tr-11,childbeautycontests-tr-9
19,YES,childbeautycontests-tr-12,childbeautycontests-tr-1
20,YES,chinaonechildpolicy-tr-2,chinaonechildpolicy-tr-1
21,YES,chinaonechildpolicy-tr-3,chinaonechildpolicy-tr-2
22,YES,chinaonechildpolicy-tr-4,chinaonechildpolicy-tr-1
23,NO,chinaonechildpolicy-tr-5,chinaonechildpolicy-tr-4
24,NO,chinaonechildpolicy-tr-6,chinaonechildpolicy-tr-4
25,YES,chinaonechildpolicy-tr-7,chinaonechildpolicy-tr-4
26,NO,chinaonechildpolicy-tr-8,chinaonechildpolicy-tr-1
27,YES,chinaonechildpolicy-tr-9,chinaonechildpolicy-tr-1
28,YES,chinaonechildpolicy-tr-10,chinaonechildpolicy-tr-1
29,NO,chinaonechildpolicy-tr-11,chinaonechildpolicy-tr-10
30,YES,cocanarcotic-tr-2,cocanarcotic-tr-1
31,NO,cocanarcotic-tr-3,cocanarcotic-tr-2
32,NO,cocanarcotic-tr-4,cocanarcotic-tr-1
33,NO,cocanarcotic-tr-5,cocanarcotic-tr-4
34,NO,cocanarcotic-tr-6,cocanarcotic-tr-5
35,NO,cocanarcotic-tr-7,cocanarcotic-tr-1
36,YES,cocanarcotic-tr-8,cocanarcotic-tr-7
37,YES,cocanarcotic-tr-9,cocanarcotic-tr-7
38,YES,cocanarcotic-tr-10,cocanarcotic-tr-7
39,NO,cocanarcotic-tr-11,cocanarcotic-tr-7
40,YES,cocanarcotic-tr-12,cocanarcotic-tr-7
41,NO,cocanarcotic-tr-13,cocanarcotic-tr-11
42,YES,cocanarcotic-tr-14,cocanarcotic-tr-1
43,YES,cocanarcotic-tr-15,cocanarcotic-tr-1
44,YES,groundzeromosque-tr-5,groundzeromosque-tr-1
45,YES,groundzeromosque-tr-6,groundzeromosque-tr-1
46,YES,groundzeromosque-tr-8,groundzeromosque-tr-7
47,YES,internetaccess-tr-2,internetaccess-tr-1
48,NO,internetaccess-tr-3,internetaccess-tr-2
49,NO,internetaccess-tr-4,internetaccess-tr-1
50,YES,internetaccess-tr-5,internetaccess-tr-1
51,NO,internetaccess-tr-6,internetaccess-tr-4
52,NO,internetaccess-tr-7,internetaccess-tr-1
53,NO,internetaccess-tr-8,internetaccess-tr-2
54,YES,internetaccess-tr-9,internetaccess-tr-1
55,YES,internetaccess-tr-10,internetaccess-tr-8
56,YES,internetaccess-tr-11,internetaccess-tr-2
57,YES,internetaccess-tr-13,internetaccess-tr-1
58,YES,osamaphoto-tr-2,osamaphoto-tr-1
59,NO,osamaphoto-tr-3,osamaphoto-tr-1
60,NO,osamaphoto-tr-4,osamaphoto-tr-1
61,NO,osamaphoto-tr-5,osamaphoto-tr-1
62,YES,osamaphoto-tr-6,osamaphoto-tr-5
63,YES,osamaphoto-tr-7,osamaphoto-tr-1
64,YES,osamaphoto-tr-8,osamaphoto-tr-7
65,NO,osamaphoto-tr-9,osamaphoto-tr-7
66,NO,osamaphoto-tr-10,osamaphoto-tr-1
67,YES,osamaphoto-tr-11,osamaphoto-tr-10
68,YES,privatizingsocialsecurity-tr-2,privatizingsocialsecurity-tr-1
69,NO,privatizingsocialsecurity-tr-3,privatizingsocialsecurity-tr-2
70,YES,privatizingsocialsecurity-tr-4,privatizingsocialsecurity-tr-1
71,NO,privatizingsocialsecurity-tr-5,privatizingsocialsecurity-tr-4
72,YES,privatizingsocialsecurity-tr-6,privatizingsocialsecurity-tr-1
73,YES,privatizingsocialsecurity-tr-7,privatizingsocialsecurity-tr-6
74,NO,privatizingsocialsecurity-tr-8,privatizingsocialsecurity-tr-1
75,NO,privatizingsocialsecurity-tr-9,privatizingsocialsecurity-tr-1
76,NO,privatizingsocialsecurity-tr-10,privatizingsocialsecurity-tr-1
77,YES,privatizingsocialsecurity-tr-11,privatizingsocialsecurity-tr-10
78,YES,sobrietytest-tr-2,sobrietytest-tr-1
79,NO,sobrietytest-tr-3,sobrietytest-tr-1
80,YES,sobrietytest-tr-4,sobrietytest-tr-3
81,YES,sobrietytest-tr-5,sobrietytest-tr-1
82,NO,sobrietytest-tr-6,sobrietytest-tr-5
83,YES,sobrietytest-tr-7,sobrietytest-tr-1
84,NO,sobrietytest-tr-8,sobrietytest-tr-7
85,NO,violentgames-tr-2,violentgames-tr-1
86,YES,violentgames-tr-3,violentgames-tr-2
87,YES,violentgames-tr-4,violentgames-tr-1
88,YES,violentgames-tr-5,violentgames-tr-4
89,YES,violentgames-tr-6,violentgames-tr-1
90,YES,violentgames-tr-7,violentgames-tr-6
91,NO,violentgames-tr-8,violentgames-tr-6
92,YES,violentgames-tr-9,violentgames-tr-8
93,NO,violentgames-tr-16,violentgames-tr-1
94,NO,violentgames-tr-10,violentgames-tr-1
95,NO,violentgames-tr-11,violentgames-tr-1
96,NO,violentgames-tr-12,violentgames-tr-11
97,YES,violentgames-tr-13,violentgames-tr-12
98,NO,violentgames-tr-14,violentgames-tr-1
99,YES,violentgames-tr-15,violentgames-tr-1
100,NO,cellphones-te-2,cellphones-te-1
101,YES,cellphones-te-3,cellphones-te-1
102,YES,cellphones-te-4,cellphones-te-1
103,YES,cellphones-te-5,cellphones-te-4
104,YES,cellphones-te-6,cellphones-te-1
105,NO,cellphones-te-7,cellphones-te-3
106,YES,cellphones-te-8,cellphones-te-1
107,NO,cellphones-te-9,cellphones-te-1
108,NO,cellphones-te-10,cellphones-te-9
109,NO,cellphones-te-11,cellphones-te-1
110,YES,gasvehicles-te-2,gasvehicles-te-1
111,YES,gasvehicles-te-3,gasvehicles-te-1
112,NO,gasvehicles-te-4,gasvehicles-te-3
113,YES,gasvehicles-te-5,gasvehicles-te-3
114,NO,gasvehicles-te-6,gasvehicles-te-1
115,YES,gasvehicles-te-7,gasvehicles-te-6
116,NO,gasvehicles-te-8,gasvehicles-te-6
117,YES,gasvehicles-te-9,gasvehicles-te-1
118,NO,gasvehicles-te-10,gasvehicles-te-9
119,NO,gasvehicles-te-11,gasvehicles-te-1
120,NO,gasvehicles-te-12,gasvehicles-te-1
121,YES,gaymarriage-te-2,gaymarriage-te-1
122,YES,gaymarriage-te-3,gaymarriage-te-1
123,NO,gaymarriage-te-4,gaymarriage-te-1
124,NO,gaymarriage-te-5,gaymarriage-te-1
125,YES,gaymarriage-te-6,gaymarriage-te-1
126,YES,gaymarriage-te-7,gaymarriage-te-1
127,NO,groundzeromosque-te-2,groundzeromosque-te-1
128,NO,groundzeromosque-te-2,groundzeromosque-te-3
129,NO,groundzeromosque-te-4,groundzeromosque-te-1
130,NO,groundzeromosque-te-7,groundzeromosque-te-1
131,NO,groundzeromosque-te-9,groundzeromosque-te-7
132,NO,internetaccess-te-12,internetaccess-te-2
133,YES,marijuanafree-te-2,marijuanafree-te-1
134,NO,marijuanafree-te-3,marijuanafree-te-2
135,YES,marijuanafree-te-4,marijuanafree-te-2
136,YES,marijuanafree-te-5,marijuanafree-te-1
137,NO,marijuanafree-te-6,marijuanafree-te-3
138,YES,marijuanafree-te-7,marijuanafree-te-1
139,NO,marijuanafree-te-8,marijuanafree-te-1
140,YES,marijuanafree-te-9,marijuanafree-te-8
141,YES,marijuanafree-te-10,marijuanafree-te-8
142,YES,marijuanafree-te-11,marijuanafree-te-8
143,YES,marijuanafree-te-12,marijuanafree-te-8
144,YES,marijuanafree-te-13,marijuanafree-te-8
145,NO,marijuanafree-te-14,marijuanafree-te-1
146,NO,marijuanafree-te-15,marijuanafree-te-1
147,NO,marijuanafree-te-16,marijuanafree-te-15
148,YES,marijuanafree-te-17,marijuanafree-te-1
149,YES,militaryservice-te-2,militaryservice-te-1
150,NO,militaryservice-te-3,militaryservice-te-1
151,YES,militaryservice-te-4,militaryservice-te-3
152,YES,militaryservice-te-5,militaryservice-te-3
153,YES,militaryservice-te-6,militaryservice-te-1
154,YES,militaryservice-te-7,militaryservice-te-1
155,NO,militaryservice-te-8,militaryservice-te-7
156,NO,militaryservice-te-9,militaryservice-te-1
157,NO,militaryservice-te-10,militaryservice-te-1
158,NO,militaryservice-te-11,militaryservice-te-10
159,YES,militaryservice-te-12,militaryservice-te-1
160,NO,militaryservice-te-13,militaryservice-te-1
161,YES,noflyzone-te-2,noflyzone-te-1
162,NO,noflyzone-te-3,noflyzone-te-1
163,YES,noflyzone-te-4,noflyzone-te-1
164,NO,noflyzone-te-5,noflyzone-te-1
165,YES,noflyzone-te-6,noflyzone-te-5
166,YES,noflyzone-te-7,noflyzone-te-1
167,YES,noflyzone-te-8,noflyzone-te-7
168,NO,noflyzone-te-9,noflyzone-te-7
169,YES,noflyzone-te-10,noflyzone-te-1
170,NO,noflyzone-te-11,noflyzone-te-1
171,YES,securityprofiling-te-2,securityprofiling-te-1
172,YES,securityprofiling-te-3,securityprofiling-te-1
173,NO,securityprofiling-te-4,securityprofiling-te-1
174,NO,securityprofiling-te-5,securityprofiling-te-1
175,YES,securityprofiling-te-6,securityprofiling-te-1
176,YES,securityprofiling-te-7,securityprofiling-te-1
177,NO,securityprofiling-te-8,securityprofiling-te-7
178,NO,securityprofiling-te-9,securityprofiling-te-1
179,YES,solarenergy-te-2,solarenergy-te-1
180,NO,solarenergy-te-3,solarenergy-te-1
181,YES,solarenergy-te-4,solarenergy-te-1
182,YES,solarenergy-te-6,solarenergy-te-1
183,YES,solarenergy-te-6,solarenergy-te-1
184,NO,solarenergy-te-7,solarenergy-te-6
185,NO,solarenergy-te-8,solarenergy-te-6
186,YES,solarenergy-te-9,solarenergy-te-1
187,YES,solarenergy-te-10,solarenergy-te-1
188,YES,solarenergy-te-11,solarenergy-te-1
189,YES,solarenergy-te-12,solarenergy-te-1
190,YES,solarenergy-te-13,solarenergy-te-12
191,YES,solarenergy-te-14,solarenergy-te-12
192,YES,solarenergy-te-15,solarenergy-te-12
193,NO,solarenergy-te-16,solarenergy-te-14
194,YES,vegetarianism-te-2,vegetarianism-te-1
195,NO,vegetarianism-te-3,vegetarianism-te-2
196,NO,vegetarianism-te-4,vegetarianism-te-2
197,YES,vegetarianism-te-5,vegetarianism-te-1
198,YES,vegetarianism-te-6,vegetarianism-te-1
199,YES,vegetarianism-te-7,vegetarianism-te-1
200,YES,abortion-pr-2,abortion-pr-1
201,NO,abortion-pr-3,abortion-pr-1
202,NO,abortion-pr-4,abortion-pr-3
203,NO,abortion-pr-5,abortion-pr-1
204,YES,abortion-pr-6,abortion-pr-5
205,NO,abortion-pr-7,abortion-pr-5
206,YES,abortion-pr-8,abortion-pr-7
207,NO,abortion-pr-9,abortion-pr-1
208,NO,abortion-pr-10,abortion-pr-9
209,YES,abortion-pr-11,abortion-pr-1
210,NO,abortion-pr-12,abortion-pr-11
211,YES,abortion-pr-13,abortion-pr-12
212,YES,abortion-pr-14,abortion-pr-1
213,YES,abortion-pr-15,abortion-pr-14
214,NO,abortion-pr-16,abortion-pr-15
215,NO,abortion-pr-17,abortion-pr-1
216,YES,abortion-pr-18,abortion-pr-17
217,NO,abortion-pr-19,abortion-pr-16
218,NO,abortion-pr-20,abortion-pr-17
219,YES,abortion-pr-21,abortion-pr-1
220,YES,abortion-pr-22,abortion-pr-1
221,NO,abortion-pr-23,abortion-pr-22
222,YES,abortion-pr-24,abortion-pr-1
223,YES,abortion-pr-25,abortion-pr-1
224,YES,obesity-pr-2,obesity-pr-1
225,NO,obesity-pr-3,obesity-pr-2
226,YES,obesity-pr-4,obesity-pr-1
227,YES,obesity-pr-5,obesity-pr-4
228,NO,obesity-pr-6,obesity-pr-4
229,NO,obesity-pr-7,obesity-pr-1
230,NO,obesity-pr-8,obesity-pr-7
231,YES,obesity-pr-9,obesity-pr-7
232,NO,obesity-pr-10,obesity-pr-6
233,NO,obesity-pr-11,obesity-pr-10
234,NO,obesity-pr-12,obesity-pr-4
235,YES,obesity-pr-13,obesity-pr-1
236,NO,obesity-pr-14,obesity-pr-13
237,YES,obesity-pr-15,obesity-pr-1
238,YES,obesity-pr-16,obesity-pr-1
239,YES,tablet-pr-2,tablet-pr-1
240,YES,tablet-pr-3,tablet-pr-1
241,NO,tablet-pr-4,tablet-pr-3
242,NO,tablet-pr-5,tablet-pr-1
243,YES,tablet-pr-6,tablet-pr-5
244,NO,tablet-pr-7,tablet-pr-1
245,YES,tablet-pr-8,tablet-pr-7
246,NO,tablet-pr-9,tablet-pr-7
247,NO,tablet-pr-10,tablet-pr-2
248,YES,tablet-pr-11,tablet-pr-10
249,NO,tablet-pr-12,tablet-pr-7
250,YES,tablet-pr-13,tablet-pr-1
251,NO,tablet-pr-14,tablet-pr-1
252,YES,tablet-pr-15,tablet-pr-1
253,NO,tablet-pr-16,tablet-pr-15
254,NO,tablet-pr-17,tablet-pr-1
255,NO,tablet-pr-18,tablet-pr-1
256,YES,tablet-pr-19,tablet-pr-17
257,YES,tablet-pr-20,tablet-pr-18
258,YES,tablet-pr-21,tablet-pr-1
259,YES,tablet-pr-22,tablet-pr-21
