,entailment,id_argument1,id_argument2
0,ENTAILMENT,2,1
1,NONENTAILMENT,3,1
2,NONENTAILMENT,4,3
3,NONENTAILMENT,5,1
4,ENTAILMENT,6,5
5,NONENTAILMENT,7,5
6,ENTAILMENT,8,7
7,NONENTAILMENT,9,1
8,NONENTAILMENT,10,9
9,ENTAILMENT,11,1
10,NONENTAILMENT,12,11
11,ENTAILMENT,13,12
12,ENTAILMENT,14,1
13,ENTAILMENT,15,14
14,NONENTAILMENT,16,15
15,NONENTAILMENT,17,1
16,ENTAILMENT,18,17
17,NONENTAILMENT,19,16
18,NONENTAILMENT,20,17
19,ENTAILMENT,21,1
20,ENTAILMENT,22,1
21,NONENTAILMENT,23,22
22,ENTAILMENT,24,1
23,ENTAILMENT,25,1
